                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.69774,                0.53529,                0.98612,                0.82975,                  0.925,                0.88363,                0.70883,                0.77498,                0.59188,                 1.0997,              0.0009704,              0.0009704,              0.0009704
                    107,                 0.7037,                0.52315,                 1.0025,                0.82087,                0.91667,                0.89736,                0.73111,                 0.7489,                0.59474,                  1.073,              0.0009605,              0.0009605,              0.0009605
                    108,                0.71883,                0.53563,                0.99225,                0.80151,                0.94221,                0.90077,                0.72175,                 0.7865,                 0.6154,                 1.0852,              0.0009506,              0.0009506,              0.0009506
                    109,                0.68541,                0.52764,                0.99149,                0.83946,                0.91667,                0.89597,                0.71461,                0.79545,                0.62388,                 1.0951,              0.0009407,              0.0009407,              0.0009407
                    110,                0.70708,                0.52032,                0.99779,                0.84159,                0.92971,                0.87608,                 0.6969,                0.79638,                0.62552,                 1.0959,              0.0009308,              0.0009308,              0.0009308
                    111,                0.67562,                0.52085,                0.98234,                0.81742,                0.93272,                0.88918,                0.71361,                0.78931,                0.60274,                 1.1007,              0.0009209,              0.0009209,              0.0009209
                    112,                0.70246,                0.55268,                0.99814,                0.83267,                0.87084,                0.90823,                0.72427,                0.75922,                0.59885,                 1.0832,               0.000911,               0.000911,               0.000911
                    113,                0.69772,                0.52414,                 0.9964,                0.79397,                0.93333,                0.90256,                0.70545,                0.78011,                0.58473,                 1.0899,              0.0009011,              0.0009011,              0.0009011
                    114,                0.68406,                 0.5179,                0.98133,                0.84087,                0.89167,                0.89786,                0.71524,                0.77181,                0.60634,                 1.0881,              0.0008912,              0.0008912,              0.0008912
                    115,                0.67224,                0.52158,                 0.9922,                0.82972,                    0.9,                0.89626,                0.72603,                0.75978,                0.61003,                 1.0792,              0.0008813,              0.0008813,              0.0008813
                    116,                0.69926,                0.52295,                0.98786,                0.81279,                0.94066,                0.89086,                0.70724,                0.78292,                0.60961,                 1.1064,              0.0008714,              0.0008714,              0.0008714
                    117,                0.68176,                0.53675,                0.98974,                0.83533,                0.94167,                0.89625,                 0.7165,                 0.7847,                0.59358,                  1.105,              0.0008615,              0.0008615,              0.0008615
                    118,                0.67667,                0.50713,                0.99899,                0.80877,                0.96667,                 0.8838,                0.69794,                0.79451,                0.61182,                 1.0965,              0.0008516,              0.0008516,              0.0008516
                    119,                0.69351,                0.50084,                0.98394,                0.80197,                0.94498,                0.88457,                0.70109,                0.78814,                0.63572,                 1.0906,              0.0008417,              0.0008417,              0.0008417
                    120,                0.66056,                0.53008,                0.98297,                0.82409,                0.93699,                0.88677,                0.70502,                 0.7938,                0.57016,                 1.1027,              0.0008318,              0.0008318,              0.0008318
                    121,                0.70831,                0.53895,                 1.0028,                0.80361,                0.93333,                0.88429,                0.69746,                0.79381,                0.58191,                  1.109,              0.0008219,              0.0008219,              0.0008219
                    122,                0.68742,                0.51875,                 1.0005,                0.83809,                0.90584,                 0.8894,                 0.7086,                 0.7683,                0.59917,                 1.0884,               0.000812,               0.000812,               0.000812
                    123,                0.70321,                0.49952,                0.98018,                0.84466,                0.90623,                0.89523,                0.72703,                0.77443,                0.61629,                 1.0959,              0.0008021,              0.0008021,              0.0008021
                    124,                0.68426,                0.50649,                0.98644,                0.83102,                0.90833,                0.88269,                0.70611,                0.76021,                0.60617,                 1.0892,              0.0007922,              0.0007922,              0.0007922
                    125,                0.64949,                0.50415,                0.97568,                0.83221,                0.90934,                0.87625,                0.69632,                0.75957,                0.60089,                 1.0829,              0.0007823,              0.0007823,              0.0007823
                    126,                0.70052,                0.49227,                0.98551,                0.82197,                0.92342,                0.87179,                0.70652,                0.78506,                0.56911,                 1.1014,              0.0007724,              0.0007724,              0.0007724
                    127,                0.66405,                0.49654,                0.98397,                0.85125,                0.90613,                 0.8797,                0.70672,                0.75709,                0.60632,                 1.0801,              0.0007625,              0.0007625,              0.0007625
                    128,                0.67742,                0.50468,                0.97848,                0.84121,                0.89167,                0.88366,                0.70528,                0.75108,                0.61276,                 1.0762,              0.0007526,              0.0007526,              0.0007526
                    129,                0.68235,                0.50355,                0.98387,                0.85863,                    0.9,                0.88895,                0.71812,                0.76255,                0.57052,                 1.0817,              0.0007427,              0.0007427,              0.0007427
                    130,                0.70507,                0.56933,                 1.0261,                0.81793,                0.94167,                0.89181,                 0.7168,                0.77184,                0.55951,                 1.0909,              0.0007328,              0.0007328,              0.0007328
                    131,                0.65466,                0.49168,                0.97593,                0.81907,                   0.95,                0.88961,                0.72324,                0.75032,                0.56898,                 1.0787,              0.0007229,              0.0007229,              0.0007229
